"name","gender","genres_liked","genres_disliked","description","age","job","hobby"
"Angela Brown","F","['fantasy', 'comedy']","['horror', 'romance']","a schoolchild, she loves collecting cards with her friends in her free time, she also enjoys watching movies, listening to pop music and reading fantasy books. Her favorite genres are fantasy and comedy, she likes fantasy movies because they are full of magic and adventure, and she likes comedy movies because they make her laugh. She dislikes horror movies because they are too scary for her, and romance movies because they are too dramatic and predictable.","11","schoolchild","Collecting cards"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a retired teacher of literature, nowadays he spends his time with his family and his horses. He is a very enthusiastic and a active person, he loves to ride horses and to participate in horse competitions. He is also a keen reader and a music lover, his favorite music genres are classical and jazz. John also enjoys watching movies, especially action and comedy films. He dislikes horror movies because they give him nightmares, and romance movies because he finds them not realistic and superficial.","63","retired","Horsemanship"
"Emily Smith","F","['documentary', 'animation']","['action', 'horror']","a marketing specialist in an important company. She is a very dynamic and adventurous person, she loves to practice rock climbing and to explore new places. She is also an animal lover and a nature enthusiast, she has a cat named Whiskers and she enjoys spending time in parks and forests. Emily also loves watching movies, her favorite genres are documentaries and animation. She dislikes action movies because they are too intense for her taste, and horror movies because they are too scary.","59","Marketing Specialist","Rock climbing"
"Michael Brown","M","['fantasy', 'romance']","['horror', 'action']","a student of literature. He is a very creative and imaginative person, he loves to practice snorkeling and to explore the underwater world. He is also a keen reader and a fan of fantasy literature, he enjoys reading books of this genre during his free time. Michael also loves watching movies, his favorite genres are fantasy and romance. He dislikes horror movies because they are too scary for him, and action movies because he finds them too violent.","18","student","Snorkeling"
"Sarah Johnson","F","['comedy', 'romance']","['horror', 'action']","a student of neuroscience. She is a very intelligent and curious person, she loves to study the human brain and to investigate the human behavior. She is also a very sociable person and enjoys attending parties and meeting new people. Sarah also loves watching movies, her favorite genres are comedy and romance. She dislikes horror movies because they are too scary, and action movies because she finds them too violent and not realistic.","21","student","Neuroscience"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a record collector and a student. He is a very sociable person, he loves to hang out with his friends and to try new things. He is very passionate about music, especially rock and jazz music. He spends a lot of his time going to concerts and discovering new artists. John has a lot of interest in photography and he is trying to develop his skills in this domain. He loves to travel and to discover new cultures. He has a preference for action and comedy movies because they make him laugh and he can have a good time with his friends. He doesn't like horror movies because they are too scary for him, and he doesn't like romance movies because he finds them too dramatic and not entertaining enough.","22","student","Record collecting"
"Emma Wilson","F","['documentary', 'animation']","['action', 'horror']","a retired person and she is passionate about sand art. She spends a lot of time on the beach creating beautiful sand art. She is a very calm and serene person, she loves to meditate and to do yoga. She has a lot of interest in the environment and she is a member of an NGO that fights for the protection of the environment. She loves to watch documentaries because they allow her to learn more about the world and to understand the problems that are happening around her. She also loves animation movies because they allow her to escape from the real world and to have a good time. She doesn't like action movies because she finds them too violent and she doesn't like horror movies because they are too scary and they give her nightmares.","69","retired","Sand art"
"Mark Thompson","M","['comedy', 'family']","['horror', 'action']","an event planner and he is passionate about climbing. He spends a lot of his time climbing in the mountains and discovering new landscapes. He is a very sociable person and he loves to organize events and parties for his friends. He has a lot of interest in photography and he is trying to develop his skills in this domain. He loves to watch comedy movies because they make him laugh and they allow him to have a good time with his friends. He doesn't like horror movies because they are too scary and he doesn't like action movies because he finds them too violent.","46","Event Planner","Climbing"
"Angela Brown","F","['romance', 'fantasy']","['horror', 'action']","a schoolchild and she is passionate about origami. She spends a lot of her time creating beautiful origami figures. She is a very artistic person and she loves to draw and to paint. She has a lot of interest in fashion and she loves to try new clothes and new styles. She loves to watch romance movies because they are beautiful and they allow her to dream and to imagine her own love story. She also loves fantasy movies because they allow her to escape from the real world and to live in a magical world. She doesn't like horror movies because they are too scary and she doesn't like action movies because they are too violent and she doesn't find them entertaining enough.","15","schoolchild","Origami"
"John Smith","M","['action', 'comedy']","['horror', 'romance']","a schoolchild and his hobby is playing soccer with his friends. He is a very active and outgoing person, he loves to spend his time playing sports, watching movies and hanging out with his friends. His favorite genres are action and comedy, because he enjoys the adrenaline and the laughter that these genres provide. He dislikes horror movies because they are too scary for him and romance movies because they are too emotional.","10","schoolchild","Soccer"
"Emily Johnson","F","['romance', 'family']","['horror', 'action']","retired and her hobby is playing flying disc with her grandchildren. She is a very gentle and kind person, she loves to spend her time reading books, watching movies and spending time with her family. Her favorite genres are romance and family, because she enjoys the love stories and the values that these genres transmit. She dislikes horror movies because they are too frightening for her and action movies because they are too violent.","70","retired","Flying disc"
"Alexander Peterson","M","['animation', 'fantasy']","['horror', 'documentary']","a schoolchild and his hobby is playing tennis. He is a very imaginative and creative person, he loves to spend his time drawing, watching movies and playing with his toys. His favorite genres are animation and fantasy, because he enjoys the magical worlds and the characters that these genres bring. He dislikes horror movies because they are too scary for him and documentary movies because they are too boring for him.","6","schoolchild","Tennis"
"Isabella Taylor","F","['documentary', 'romance']","['horror', 'action']","a Cabin Crew and her hobby is studying geography. She is a very curious and intelligent person, she loves to spend her time reading books, watching movies and learning about new places. Her favorite genres are documentary and romance, because she enjoys the knowledge and the love stories that these genres provide. She dislikes horror movies because they are too frightening for her and action movies because they are too superficial.","58","Cabin Crew","Geography"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a retired pilot, he enjoys flying small aircrafts as a hobby, he also likes to collect model airplanes, he is a very friendly and outgoing person, his favorite movies are Top Gun and Air Force One, he dislikes horror movies because they are too intense and romance movies because they are too predictable, he enjoys watching movies with lots of actions and comedy, John Miller is also a big fan of classic movies from the 70's and 80's and he also enjoys watching documentaries about aviation and history.","63","retired","Flying"
"Emily Adams","F","['fantasy', 'animation']","['documentary', 'action']","an apprentice in a CD shop, she enjoys collecting and listening to music on compact discs, she is a very creative and artistic person, her favorite movies are The Lord of The Rings and Spirited Away, she dislikes documentaries because they are too real and action movies because they are too loud, she enjoys watching movies with lots of fantasy and animation, Emily Adams is also a big fan of foreign movies and she also enjoys reading books and attending theater plays.","24","apprentice","Compact discs"
"Kevin Thompson","M","['action', 'comedy']","['horror', 'romance']","a chemist, he enjoys storm chasing as a hobby, he also likes to take pictures of lightnings, he is a very curious and adventurous person, his favorite movies are The Matrix and The Hangover, he dislikes horror movies because they are too scary and romance movies because they are too cheesy, he enjoys watching movies with lots of actions and comedy, Kevin Thompson is also a big fan of science fiction movies and he also enjoys playing board games and reading science books.","48","Chemist","Storm chasing"
"Olivia Johnson","F","['romance', 'animation']","['horror', 'action']","a chef, she enjoys skateboarding as a hobby, she also likes to attend cooking classes, she is a very creative and fun person, her favorite movies are Titanic and Ratatouille, she dislikes horror movies because they are too scary and action movies because they are too noisy, she enjoys watching movies with lots of romance and animation, Olivia Johnson is also a big fan of musicals and she also enjoys painting and playing the piano.","34","Chef","Skateboarding"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a retired teacher who loves spending his time editing wikipedia pages. He is a very kind and helpful person, always ready to help others. He enjoys watching action movies and comedy because they make him laugh and feel excited. He dislikes horror movies because they give him nightmares and romance movies because he finds them boring and predictable. He also enjoys playing chess, listening to classical music and reading history books.","67","retired","Wikipedia editing"
"Emily Johnson","F","['action', 'romance']","['horror', 'comedy']","a student who loves to chase storms and learn about weather. She is a very adventurous and brave person, always looking for new experiences. She enjoys watching action movies because they make her feel excited and romance movies because they make her dream about love. She dislikes horror movies because they scare her and comedy movies because she finds them childish. She also enjoys hiking, photography and reading science fiction books.","17","student","Storm chasing"
"Samuel Taylor","M","['comedy', 'family']","['horror', 'action']","a software developer who loves spending his free time beachcombing. He is a very calm and patient person, always looking for peace and quiet. He enjoys watching comedy movies because they make him laugh and family movies because they are light and wholesome. He dislikes horror movies because they scare him and action movies because they are too intense. He also enjoys cooking, playing the guitar and reading mystery novels.","59","Software Developer","Beachcombing"
"Isabella Scott","F","['romance', 'documentary']","['horror', 'action']","a dispatch operator who loves studying the weather and meteorology. She is a very curious and intelligent person, always looking for new knowledge. She enjoys watching romance movies because they make her feel emotional and documentaries because they teach her new things. She dislikes horror movies because they scare her and action movies because they are too violent. She also enjoys painting, birdwatching and reading historical fiction.","48","Dispatch Operator","Meteorology"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a retired person, and he enjoys doing skydiving on his free time, he also likes to travel and meet new cultures, he is a very curious person and he likes to learn new things everyday, he is a very talkative person and he always has something interesting to say, he is a very friendly person and he always tries to see the positive side of things.","68","retired","Skydiving"
"Jane Doe","F","['romance', 'family']","['horror', 'action']","a Interior Designer, and she enjoys doing Horsemanship on her free time, she also likes to cook and spend time with her family, she is a very responsible person and she always tries to do her best on everything she does, she is a very creative person and she always finds a way to make things look beautiful, she is a very calm person and she always tries to stay positive even in difficult situations.","58","Interior Designer","Horsemanship"
"Jack Smith","M","['documentary', 'animation']","['horror', 'romance']","an Architect, and he enjoys doing snorkeling on his free time, he also likes to travel and explore new places, he is a very curious person and he likes to learn new things everyday, he is a very talkative person and he always has something interesting to say, he is a very friendly person and he always tries to see the positive side of things.","32","Architect","Snorkeling"
"Jill Johnson","F","['comedy', 'fantasy']","['horror', 'action']","a Librarian, and she enjoys doing Animal fancy on her free time, she also likes to read and spend time with her pets, she is a very responsible person and she always tries to do her best on everything she does, she is a very creative person and she always finds a way to make things look beautiful, she is a very calm person and she always tries to stay positive even in difficult situations.","38","Librarian","Animal fancy"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a retired teacher, and he loves to play disc golf with his friends, he has a lot of hobbies, but his favorite is to watch movies, he is a very funny person and he loves to laugh, and he hates to be bored, his favorite genres are action and comedy because they make him laugh and feel excited. He dislikes horror movies because they are too scary for him, and he doesn't like romance movies because they are too predictable and boring for him, his favorite movies are ""The Godfather"" and ""The Shawshank Redemption"" and his least favorite movies are ""The Ring"" and ""Twilight"".","71","retired","Disc golf"
"Emily Watson","F","['romance', 'fantasy']","['action', 'horror']","a cake decorator, and she loves to practice fencing, she has a lot of hobbies, but her favorite is to watch movies, she is a very romantic person and she loves to feel emotional, and she hates to be stressed, her favorite genres are romance and fantasy because they make her feel emotional and transport her to other worlds, she dislikes action movies because they are too stressful for her, and she doesn't like horror movies because they are too scary for her, her favorite movies are ""The Notebook"" and ""The Lord of the Rings"" and her least favorite movies are ""The Matrix"" and ""Halloween"".","48","Cake Decorator","Fencing"
"Mark Thompson","M","['animation', 'documentary']","['horror', 'romance']","a student, and he loves to do topiary with his friends, he has a lot of hobbies, but his favorite is to watch movies, he is a very creative person and he loves to learn, and he hates to be bored, his favorite genres are animation and documentary because they are fun and educational, he dislikes horror movies because they are too scary for him, and he doesn't like romance movies because they are too predictable and boring for him, his favorite movies are ""Spirited Away"" and ""March of the Penguins"" and his least favorite movies are ""The Exorcist"" and ""Twilight"".","16","student","Topiary"
"Isabella Johnson","F","['comedy', 'family']","['horror', 'action']","a physical therapist, and she loves to do iceboat racing with her friends, she has a lot of hobbies, but her favorite is to watch movies, she is a very funny person and she loves to laugh, and she hates to be bored, her favorite genres are comedy and family because they make her laugh and feel good, she dislikes horror movies because they are too scary for her, and she doesn't like action movies because they are too intense for her, her favorite movies are ""Bridget Jones's Diary"" and ""The Incredibles"" and her least favorite movies are ""The Texas Chainsaw Massacre"" and ""The Dark Knight"".","60","Physical Therapist","Iceboat racing"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a interior designer and he loves to practice capoeira as a hobby , he is a creative and artistic person, he enjoys going to the movies with his friends and watching action and comedy movies, he dislikes horror movies because they give him nightmares and romance movies because he finds them predictable and boring , he is a fan of martial arts and he also enjoys watching documentaries about nature and animals.","50","Interior Designer","capoeira"
"Emily Taylor","F","['romance', 'family']","['horror', 'action']","a physical therapist and she enjoys powerboat racing as a hobby, she is a compassionate and empathetic person, she loves to watch romance and family movies with her friends and family, she dislikes horror movies because they are too intense and action movies because they are too violent, she is a fan of romantic comedies and she also enjoys watching cooking shows.","45","Physical Therapist","Powerboat racing"
"Luis Gonzalez","M","['comedy', 'animation']","['horror', 'documentary']","a tailor and he loves to practice cheerleading as a hobby, he is a fun and positive person, he enjoys going to the movies with his friends and watching comedy and animation movies, he dislikes horror movies because they are too scary and documentaries because they are too boring, he is a fan of stand-up comedy and he also enjoys playing video games.","46","Tailor","Cheerleading"
"Sarah Williams","F","['romance', 'fantasy']","['horror', 'action']","a counselor and she loves to practice kayaking as a hobby, she is a compassionate and empathetic person, she enjoys watching romance and fantasy movies with her friends and family, she dislikes horror movies because they are too scary and action movies because they are too intense, she is a fan of romantic dramas and she also enjoys reading novels.","32","Counselor","Kayaking"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a tailor by profession but his hobby is bus riding. He loves exploring new places by taking bus rides to different locations. His main interests are fashion and travel. He also enjoys cooking and playing basketball in his free time. He is a very adventurous person and loves trying out new things. His favorite movies are action and comedy movies as they keep him on the edge of his seat and make him laugh. He doesn't like horror movies as they give him nightmares and he finds romance movies to be too cheesy and predictable.","29","Tailor","Bus riding"
"Emily Johnson","F","['animation', 'fantasy']","['documentary', 'horror']","a schoolchild and her hobby is playing card games. She loves playing cards with her friends and family members. Her main interests are art and reading. She also enjoys playing board games and listening to music in her free time. She is a very creative person and loves to explore her imagination. Her favorite movies are animation and fantasy movies as they transport her to different worlds and allow her to use her imagination. She doesn't like documentary movies as they are too real and boring to her and she finds horror movies to be too scary.","6","schoolchild","Card games"
"Mark Thompson","M","['action', 'documentary']","['horror', 'romance']","a painter by profession but his hobby is animal fancy. He loves taking care of his pets and participating in animal shows. His main interests are art and animals. He also enjoys cooking and playing soccer in his free time. He is a very talented person and loves to express himself through his paintings. His favorite movies are action and documentary movies as they are thrilling and informative. He doesn't like horror movies as they give him nightmares and he finds romance movies to be too cheesy and unrealistic.","36","Painter","Animal fancy"
"Isabella Williams","F","['comedy', 'romance']","['horror', 'action']","a barber shop owner by profession but her hobby is inline skating. She loves going for long skates in the park with her friends. Her main interests are fashion and sports. She also enjoys cooking and playing basketball in her free time. She is a very stylish person and loves to make people look and feel their best. Her favorite movies are comedy and romance movies as they make her laugh and feel good. She doesn't like horror movies as they give her nightmares and she finds action movies to be too loud and overwhelming.","26","Barber Shop Owner","Inline skating"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a college student, he is very active and enjoys playing flag football with his friends in his free time. John is a very sociable person and enjoys hanging out with friends. He also enjoys watching movies and his favorite genres are action and comedy, he enjoys the excitement and the laughs that these genres provide. John dislikes horror movies because they give him nightmares, and he also dislikes romance movies because he finds them boring and predictable. John's secondary hobbies are cooking and playing the guitar.","24","student","Flag football"
"Emily Johnson","F","['romance', 'family']","['action', 'horror']","a retired ballet dancer, she enjoys practicing ballet dancing in her free time. Emily is a very elegant and graceful person, she also enjoys watching movies and her favorite genres are romance and family, she enjoys the love stories and the emotional connections that these genres provide. Emily dislikes action movies because she finds them too violent, and she also dislikes horror movies because they are too scary for her taste. Emily's secondary hobbies are painting and playing the piano.","71","retired","Ballet dancing"
"Mark Thompson","M","['documentary', 'animation']","['horror', 'action']","a retired teacher, he enjoys jogging in the park near his house in his free time. Mark is a very intelligent and curious person, he enjoys learning new things and watching documentaries to expand his knowledge. Mark also enjoys watching animation movies because they are fun and imaginative. He dislikes horror movies because they are too scary, and he also dislikes action movies because they are too violent and noisy. Mark's secondary hobbies are reading and playing chess.","61","retired","Jogging"
"Sarah Wilson","F","['romance', 'comedy']","['horror', 'action']","a janitor at a school, she enjoys playing esports with her friends in her free time. Sarah is a very friendly and outgoing person, she enjoys watching movies and her favorite genres are romance and comedy, she enjoys the love stories and the laughs that these genres provide. Sarah dislikes horror movies because they are too scary, and she also dislikes action movies because she finds them too violent. Sarah's secondary hobbies are cooking and playing the piano.","40","Janitor","Esports"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","retired from his job and his main hobby is auto detailing he enjoys making his car look new and clean , he also enjoys watching action and comedy movies. John dislikes horror and romance movies because he believes that they are not realistic and do not provide any valuable lessons.","64","retired","Auto detailing"
"Jane Doe","F","['romance', 'family']","['horror', 'action']","a coachbuilder and her main hobby is playing poker she enjoys the competitive nature of the game and the strategy involved. Jane likes watching romance and family movies because they provide valuable lessons about life and relationships. Jane dislikes horror and action movies because they are too violent and do not provide any valuable lessons.","54","Coachbuilder","Poker"
"James Dean","M","['documentary', 'animation']","['horror', 'romance']","retired from his job and his main hobby is cartophily, he enjoys collecting and trading cards. James likes watching documentary and animation movies because they provide valuable information and are entertaining. James dislikes horror and romance movies because they are not realistic and do not provide any valuable lessons.","71","retired","Cartophily (card collecting)"
"Emma Watson","F","['comedy', 'family']","['horror', 'action']","retired from her job and her main hobby is vintage cars she enjoys collecting and restoring old cars. Emma likes watching comedy and family movies because they are entertaining and provide valuable lessons about life. Emma dislikes horror and action movies because they are too violent and do not provide any valuable lessons.","65","retired","Vintage cars"
"Emma Johnson","F","['action', 'horror']","['romance', 'comedy']","very passionate about bodybuilding, she started when she was 14 years old after she saw a video of a female bodybuilder on YouTube, since then she became addicted to it, she trained 5 times per week, and she also follows a strict diet, she also has a part time job at a local gym as an apprentice, she helps the trainers to train the clients, her favorite genres are action and horror movies because she likes the adrenaline rush she gets when watching them, she doesn't like romance and comedy movies because she finds them boring and not exciting enough.","16","apprentice","Bodybuilding"
"Mark Wilson","M","['documentary', 'animation']","['action', 'horror']","very passionate about perfumes, he collects them and also makes his own perfumes at home, he also gives workshops to people who want to learn how to make their own perfumes, he was a retired teacher of chemistry, he enjoys watching documentaries and animation movies because they give him a lot of knowledge and pleasure, he doesn't like action and horror movies because he finds them too violent and not entertaining, he also enjoys reading books and listening to classical music.","62","retired","Perfume"
"Angela Miller","F","['romance', 'comedy']","['action', 'horror']","very passionate about literature, she reads a lot of books and also writes her own stories, she is a surveyor and she enjoys her job, her favorite genres are romance and comedy movies because she likes the love stories and the laughter that they bring to her life, she doesn't like action and horror movies because she finds them too intense and not entertaining at all, she also enjoys doing yoga and meditation.","35","Surveyor","Literature"
"Liam Scott","M","['documentary', 'animation']","['romance', 'comedy']","very passionate about antiquities, he collects them and also restores them, he was a retired teacher of history, he enjoys watching documentaries and animation movies because they give him a lot of knowledge and pleasure, he doesn't like romance and comedy movies because he finds them too superficial and not entertaining, he also enjoys playing chess and doing puzzles.","68","retired","Antiquities"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a retired teacher, he likes to spend his time with his hobby, which is training and raising carrier pigeons, he also enjoy watching action movies and comedy to relax, he dislikes horror movies because they give him nightmares and romance movies because he finds them boring.","61","retired","Carrier pigeons"
"Tina Johnson","F","['romance', 'fantasy']","['horror', 'action']","an apprentice in a travel agency, she enjoys traveling and learning about different cultures, she also loves to watch romance movies and fantasy movies, she dislikes horror movies because they are too scary and action movies because they are too violent.","18","apprentice","Tourism"
"Brian Johnson","M","['documentary', 'animation']","['horror', 'romance']","a student in a university, he spends his free time doing mountaineering, he also enjoys watching documentary movies and animation movies, he dislikes horror movies because they are too scary and romance movies because they are too predictable.","20","student","Mountaineering"
"Tessa Johnson","F","['comedy', 'family']","['horror', 'action']","a sports coach in a school, she spends her free time playing bridge, she also enjoys watching comedy and family movies, she dislikes horror movies because they are too scary and action movies because they are too violent.","30","Sports Coach","Bridge"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a retired teacher who enjoys dancing of all types in his free time. His favorite genres are action and comedy movies, because he likes the excitement and the laughter that these genres provide. He dislikes horror movies because they often give him nightmares and romance movies because he finds them cheesy and predictable. John also enjoys playing chess and cooking in his free time.","69","retired","Dancing"
"Jane Smith","F","['documentary', 'animation']","['action', 'horror']","a retired nurse who enjoys catching reptiles and amphibians in her free time, also known as ""herping"". She likes to watch documentaries and animated movies because she finds them educational and entertaining. She dislikes action movies because they are too intense for her taste and horror movies because they are too scary. Jane also enjoys gardening and reading in her free time.","67","retired","Herping"
"Jack Johnson","M","['romance', 'comedy']","['horror', 'action']","an air traffic controller who enjoys practicing freestyle football in his free time. His favorite genres are romance and comedy movies because he likes the love stories and the laughter that these genres provide. He dislikes horror movies because they are too scary and action movies because they are too intense. Jack also enjoys playing the guitar and traveling in his free time.","53","Air Traffic Controller","Freestyle football"
"Jill Peters","F","['animation', 'documentary']","['horror', 'romance']","a nutritionist who enjoys camping in nature in her free time. Her favorite genres are animation and documentary movies because she finds them entertaining and educational. She dislikes horror movies because they are too scary and romance movies because she finds them cheesy and predictable. Jill also enjoys hiking and painting in her free time.","25","Nutritionist","Camping"
"John Smith","M","['action', 'comedy']","['horror', 'romance']","a student in a high school. His hobby is collecting stones, he has a big collection of different stones in his room. He also like to play basketball and volunteer at a local animal shelter in his free time. John's favorite movie genre is action because he likes to see the heroes save the world in the movies. He also like comedy because it makes him laugh. John doesn't like horror movies because they are too scary for him and romance movies because they are too cheesy.","17","student","Stone collecting"
"Emma Johnson","F","['romance', 'family']","['horror', 'action']","a retired teacher. Her hobby is collecting perfumes, she has a big collection of different perfumes in her room. She also like to knit and read books in her free time. Emma''s favorite movie genre is romance because she like to see the love stories in the movies. She also like family movies because they are heartwarming. Emma doesn't like horror movies because they are too scary for her and action movies because they are too violent.","72","retired","Perfume"
"Michael Brown","M","['documentary', 'animation']","['horror', 'romance']","a dentist. His hobby is playing pinball, he has a big collection of different pinball machines in his room. He also like to ride a bike and attend to art exhibitions in his free time. Michael's favorite movie genre is documentary because he likes to learn about the real stories in the movies. He also like animation movies because they are fun and creative. Michael doesn't like horror movies because they are too scary for him and romance movies because they are too cheesy.","31","Dentist","Pinball"
"Sarah Johnson","F","['action', 'comedy']","['horror', 'family']","a barber. Her hobby is practicing martial arts, she has a black belt in karate. She also like to cook and travel in her free time. Sarah's favorite movie genre is action because she likes to see the heroes save the world in the movies. She also like comedy movies because they make her laugh. Sarah doesn't like horror movies because they are too scary for her and family movies because they are too cheesy.","36","Barber","Martial arts"
"John Miller","M","['action', 'horror']","['romance', 'comedy']","an apprentice in a small bakery, he is a very talented ballet dancer and he practices it 3 times a week, he has a passion for nature photography and he often goes for a walk in the forest to take pictures of the animals, John's favorite movie genre is action because he likes the feeling of adrenaline and the excitement that these movies provide, he also enjoys horror movies because they make him feel scared and thrilled, he doesn't like romance movies because he finds them too predictable and boring, and he dislikes comedy because he believes that they are often lacking in substance and are only meant to make people laugh without any real meaning.","22","apprentice","Ballet dancing"
"Emily Wilson","F","['romance', 'animation']","['action', 'horror']","a fashion designer and has her own small studio, she is a very good table tennis player and she often participates in local tournaments, she likes to read poetry and she has a passion for oil painting, Emily's favorite movie genre is romance because she loves the stories about love and the emotions that they evoke, she also enjoys animation movies because they allow her to escape from reality and be transported into a fantasy world, she doesn't like action movies because they are too loud and violent, and she dislikes horror movies because they are too scary and give her nightmares.","30","Fashion Designer","Table tennis"
"Mark Davis","M","['comedy', 'family']","['horror', 'action']","a schoolchild and he loves to learn new things, he is a very good player of video games and he often plays with his friends, he has a passion for collecting insects and he often goes to the park to search for them, Mark's favorite movie genre is comedy because he likes to laugh and have a good time, he also enjoys family movies because they are often filled with positive values and teach him important lessons, he doesn't like horror movies because they are too scary and give him nightmares, and he dislikes action movies because they are too violent and loud.","6","schoolchild","Playing video games"
"Olivia Jackson","F","['documentary', 'fantasy']","['horror', 'action']","a scientist and she works in a laboratory, she is a very good sunbather and she often spends her weekends at the beach, she has a passion for cooking and she loves to try new recipes, Olivia's favorite movie genre is documentary because she loves to learn about the world and its secrets, she also enjoys fantasy movies because they allow her to escape from reality and be transported into a magical world, she doesn't like horror movies because they are too scary and give her nightmares, and she dislikes action movies because she believes that they are too superficial and lacking in substance.","34","Scientist","Sun bathing"
"Emily Johnson","F","['comedy', 'action']","['horror', 'romance']","a schoolchild and she loves to sing, her favorite hobby is playing with her friends, she has a golden retriever named Milo, her favorite color is pink and her least favorite color is blue, she loves to eat ice cream and watch Disney movies, her favorite book is The Little Prince, her favorite TV show is Friends, she prefers to spend her free time at the park, her favorite season is spring and her least favorite season is winter, she loves to travel and visit new places, her favorite vacation was in Hawaii, she prefers to wear dresses, her favorite flower is the rose, she likes to play with dolls and her favorite subject in school is art.","6","schoolchild","Singing"
"Alexander Hamilton","M","['action', 'comedy']","['horror', 'romance']","a butcher, he loves to play with radio-controlled models, his favorite hobby is fishing, he has a cat named Oliver, his favorite color is green and his least favorite color is purple, he loves to eat steak and watch Marvel movies, his favorite book is 1984, his favorite TV show is The Walking Dead, he prefers to spend his free time in the countryside, his favorite season is summer and his least favorite season is autumn, he loves to ride bicycle and his favorite vacation was in Italy, he prefers to wear jeans, his favorite flower is the tulip, he likes to play basketball and his favorite subject in school was history.","40","Butcher","Radio-controlled model playing"
"Sophia Martinez","F","['comedy', 'horror']","['action', 'romance']","a retired, she loves to do ant farming, her favorite hobby is knitting, she has a parrot named Pedro, her favorite color is yellow and her least favorite color is gray, she loves to eat chocolate and watch thriller movies, her favorite book is Pride and Prejudice, her favorite TV show is The X-Files, she prefers to spend her free time in her garden, her favorite season is spring and her least favorite season is winter, she loves to play chess and her favorite vacation was in Spain, she prefers to wear dresses, her favorite flower is the sunflower, she likes to play the piano and her favorite subject in school was literature.","67","retired","Ant farming"
"Noah Brown","M","['action', 'romance']","['horror', 'comedy']","a retired, he loves to do curling, his favorite hobby is painting, he has a dog named Bella, his favorite color is blue and his least favorite color is orange, he loves to eat ice cream and watch drama movies, his favorite book is To Kill a Mockingbird, his favorite TV show is Breaking Bad, he prefers to spend his free time in the museum, his favorite season is autumn and his least favorite season is summer, he loves to play golf and his favorite vacation was in Scotland, he prefers to wear suits, his favorite flower is the rose, he likes to play chess and his favorite subject in school was physics.","68","retired","Curling"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a welder by profession, he loves climbing mountains and he is also interested in reading novels and playing basketball. He is a person who is always looking for adventures and new experiences, he dislikes horror movies because they are too intense for him and he is not a fan of romance movies because he finds them too predictable. His favorite type of comedy movies are the ones that make him laugh nonstop and his favorite action movies are the ones with a lot of action and a good story.","28","Welder","Climbing"
"Jane Smith","F","['romance', 'fantasy']","['horror', 'action']","an apprentice by profession, she loves stargazing and she is also interested in painting and playing the piano. She is a person who is a romantic and a dreamer, she dislikes horror movies because they are too scary for her and she is not a fan of action movies because they are too intense. Her favorite type of romance movies are the ones that make her cry and her favorite fantasy movies are the ones with a lot of magic and a good story.","19","apprentice","Astronomy"
"Michael Johnson","M","['documentary', 'animation']","['horror', 'romance']","a retired person, he loves playing pickleball and he is also interested in gardening and birdwatching. He is a person who is always looking for knowledge and new experiences, he dislikes horror movies because they are too intense for him and he is not a fan of romance movies because he finds them too predictable. His favorite type of documentary movies are the ones that teach him something new and his favorite animation movies are the ones with a good story and a lot of humor.","63","retired","Pickleball"
"Emily Taylor","F","['romance', 'fantasy']","['horror', 'action']","a massage therapist by profession, she loves orienteering and she is also interested in cooking and photography. She is a person who is a romantic and a dreamer, she dislikes horror movies because they are too intense for her and she is not a fan of action movies because they are too fast for her. Her favorite type of romance movies are the ones that make her cry and her favorite fantasy movies are the ones with a lot of magic and a good story.","46","Massage Therapist","Orienteering"
"Johnathan Doe","M","['action', 'comedy']","['horror', 'romance']","a doctor and he loves his job, he is a very creative person, he likes to write stories, he is a very friendly person, he likes to help others, he enjoys cooking and playing basketball, he is a very interesting person, he has a lot of hobbies, he loves to make new friends, he is a very social person, he enjoys spending time with his family, he is a very funny person, he loves to make jokes, he is a very kind person, he loves to help others, he is a very intelligent person, he has a lot of knowledge, he is a very charismatic person, he loves to be around people, he is a very confident person, he is a very talented person, he loves to play the piano, he is a very determined person, he is a very brave person, he is a very strong person, he is a very fit person, he is a very active person, he loves to swim, he loves to travel, he is a very curious person, he is a very creative person, he loves to paint, he is a very artistic person, he loves to play the guitar, he is a very cool person, he is a very chill person, he is a very sporty person, he is a very outgoing person, he is a very adventurous person, he is a","53","Doctor","Story writing"
