,name,gender,description,age,job,hobby,genres_liked,genres_disliked
278,Sarah Smith,F,"an interpreter and has a passion for vintage clothing. She loves to wear unique and timeless pieces that reflect her personality and style. Sarah likes to watch fantasy, crime, thriller, and romance movies. She enjoys the escapism and magic of fantasy, the intricate plots and character development in crime and thriller, and the emotional depth and romance in romance. She is not a big fan of documentary, science fiction, and animated movies, as they can be too dry, technical, or unrealistic for her. Sarah is a big believer in the power of fashion and personal style, and she enjoys expressing herself through her clothing and accessories.",33,Interpreter,Vintage clothing,"['fantasy', 'crime', 'thriller', 'romance']","['documentary', 'science fiction', 'animated']"
279,Michael Johnson,M,"a student and has a passion for Letterboxing. He loves to go on hikes and treks to find hidden boxes, and he enjoys the sense of accomplishment and challenge that comes with it. Michael likes to watch adventure, comedy, romance, and action movies. He enjoys the excitement and thrill of adventure, the humor and light-heartedness of comedy, the romance and emotional depth of romance, and the excitement and adrenaline of action movies.",16,student,Letterboxing,"['adventure', 'comedy', 'romance', 'action']","['thriller', 'fantasy', 'animated', 'horror']"
280,Avery Johnson,F,"an apprentice in a law firm, on her free time she loves to ride her hobby horse around the park or in the field, she is a big fan of science fiction and fantasy movies, she loves the thrill and adventure that comes with these genres. She also enjoys a good comedy, especially when it's something light-hearted and easy to watch. Her favorite science fiction movie is The Matrix, she loves the special effects and the intricate storyline. Her favorite fantasy movie is The Lord of the Rings, she loves the world-building and the epic battles.",18,apprentice,Hobby horsing,"['comedy', 'science fiction', 'action', 'fantasy']","['romance', 'animated', 'horror', 'documentary']"
281,Liam Davis,M,"an apprentice electrician, he is also a big fan of action figures, he likes to collect and display them in his room, he loves the adrenaline rush that comes with watching thriller and action movies, his favorite thriller movie is The Silence of the Lambs, he loves the suspense and the psychological aspect of the movie. His favorite action movie is Die Hard, he loves the intense action scenes and the one-liners. He also enjoys documentary movies, especially those that are focused on true crime stories.",22,apprentice,Action figure,"['thriller', 'action', 'documentary', 'comedy']","['fantasy', 'science fiction', 'animated', 'horror']"
282,Emily Adams,F,"retired, but she keeps herself busy with meditation and reading, she loves to watch fantasy and adventure movies, she finds them to be escapist and imaginative, her favorite fantasy movie is The Wizard of Oz, she loves the magical world and the iconic characters. Her favorite adventure movie is Indiana Jones, she loves the action and the globetrotting. She also enjoys thriller movies, especially those that are psychological in nature, her favorite thriller movie is Psycho, she loves the twists and the suspense. She doesn't like horror movies, but her favorite one is The Shining, she loves the atmosphere and the iconic scenes.",73,retired,Meditation,"['fantasy', 'adventure', 'thriller', 'horror']","['crime', 'romance', 'documentary', 'animated']"
283,Samuel Parker,M,"a bookkeeper, but on his free time he enjoys longboarding, he likes to go downhill and ride through the streets, he loves the rush and the feeling of freedom, he loves to watch action movies, especially those that are fast-paced and intense, his favorite action movie is Mad Max: Fury Road, he loves the stunts and the world-building. He also enjoys horror movies, especially those that are psychological in nature, his favorite horror movie is The Shining, he loves the atmosphere and the iconic scenes. He also enjoys crime movies, especially those that are based on true stories, his favorite crime movie is Goodfellas, he loves the storytelling and the characters.",52,Bookkeeper,Longboarding,"['action', 'horror', 'crime', 'documentary']","['animated', 'science fiction']"
284,Adrian Lee,F,"an apprentice in a bakery, she is passionate about foraging and spending time in nature. She enjoys animated movies for their vibrant visuals and imaginative storytelling. She also loves horror movies for the adrenaline rush they provide. She also enjoys action movies and drama movies for the intensity and emotional depth they bring to the table. She dislikes documentary movies because she finds them too factual and not entertaining enough.",18,apprentice,Foraging,"['animated', 'horror', 'action', 'drama']",['documentary']
285,David Parker,M,"a dentist, he is passionate about karting and spending time on the racetrack. He enjoys animated movies for their imaginative storytelling and vibrant visuals. He also enjoys documentary movies for the insight they provide into real-world topics. He also loves horror movies for the adrenaline rush they provide and thriller movies for the suspense they bring to the table. He dislikes comedy movies because he finds them too light-hearted and not serious enough. He also dislikes drama, science fiction, and crime genres because they are not interesting to him.",33,Dentist,Karting,"['animated', 'documentary', 'horror', 'thriller']","['comedy', 'drama', 'science fiction', 'crime']"
286,Emily Wilson,F,"a psychologist, she is passionate about railway studies and the history of transportation. She enjoys action movies for the intensity they bring to the table. She also enjoys documentary movies for the insight they provide into real-world topics. She also loves romance movies for the emotional depth they bring to the table and drama movies for the intensity and emotional depth they bring to the table. She dislikes movies because they are not interesting to her.",29,Psychologist,Railway studies,"['action', 'documentary', 'romance', 'drama']",[]
287,Michael Johnson,M,"an art director, he is passionate about trade fair visiting and learning about new trends in design and art. He enjoys drama movies for the emotional depth they bring to the table. He also enjoys adventure movies for the excitement they bring to the table. He also enjoys documentary movies for the insight they provide into real-world topics. He also loves crime movies for the suspense they bring to the table. He dislikes romance movies because they are too light-hearted and not serious enough. He also dislikes fantasy, horror, and thriller genres because they are not interesting to him.",52,Art Director,Trade fair visiting,"['drama', 'adventure', 'documentary', 'crime']","['romance', 'fantasy', 'horror', 'thriller']"
288,Alex Johnson,F,"a schoolchild and she has a passion for acting, she is always eager to show off her acting skills to her friends and family. She loves science fiction movies, especially those with futuristic settings and high-tech gadgets. She is also a fan of crime and drama movies, and she is always on the edge of her seat when the plot is intense. She also enjoys action movies, where the heroes are fighting for what's right. She dislikes documentary movies, as she finds them boring and not engaging. She also dislikes animated movies, as she prefers live-action. She also dislikes horror movies, as they make her too scared.",11,schoolchild,Acting,"['science fiction', 'crime', 'drama', 'action']","['documentary', 'animated', 'horror']"
289,Michael Davis,M,"retired and he has a passion for volleyball. He loves science fiction movies, as they make him think about the future and what could be. He is also a fan of fantasy movies, where magic and mythical creatures play a big role. He also enjoys crime movies, as they keep him on the edge of his seat and make him think about the reality of the world. He also likes documentary movies, as they are informative and educational. He dislikes horror movies, as they are too scary for him. He also dislikes adventure movies, as they are not realistic enough for him. He also dislikes romance movies, as they are too cheesy for him.",72,retired,Volleyball,"['science fiction', 'fantasy', 'crime', 'documentary']","['horror', 'adventure', 'romance']"
290,Sofia Rodriguez,F,"a schoolchild and she has a passion for volleyball. She loves documentary movies, as they are informative and educational. She is also a fan of romance movies, where the characters are falling in love and overcoming obstacles. She also enjoys thriller movies, as they keep her on the edge of her seat and make her think about what could happen in real life. She also likes horror movies, as they are scary and exciting.",12,schoolchild,Volleyball,"['documentary', 'romance', 'thriller', 'horror']",[]
291,William Brown,M,"a schoolchild and he has a passion for origami. He loves documentary movies, as they are informative and educational. He is also a fan of fantasy movies, where magic and mythical creatures play a big role. He also enjoys science fiction movies, as they make him think about the future and what could be. He also likes adventure movies, as they are exciting and make him want to go on his own adventure. He dislikes horror movies, as they are too scary for him. He also dislikes animated movies, as he prefers live-action.",8,schoolchild,Origami,"['documentary', 'fantasy', 'science fiction', 'adventure']","['horror', 'animated']"
292,Aaliyah Patel,F,"an optician, she loves dancing and watching romantic, drama, comedy and thriller movies. She has a keen interest in the human behavior and loves to explore the relationships in the movies. She believes that a good movie is one that can take you on a roller coaster of emotions and leave you with a sense of satisfaction. She doesn't like fantasy, animated, action and documentary films, as she finds them too unrealistic and not relatable to her life. She is a hopeless romantic and believes in the power of love and its ability to overcome any obstacles.",51,Optician,Dancing,"['romance', 'drama', 'comedy', 'thriller']","['fantasy', 'animated', 'action', 'documentary']"
293,Ethan Chen,M,"a musician and loves visiting trade fairs. He enjoys watching comedy, documentary, thriller, and action movies. He is a very curious person and loves to learn new things. He finds documentary films very informative and interesting. He also loves the adrenaline rush that comes with watching action and thriller movies. He is not a fan of romance, animated, science fiction and fantasy films, as he finds them too unrealistic and not relatable to his life. He is a big fan of music and believes that it has the power to change the world.",38,Musician,Trade fair visiting,"['comedy', 'documentary', 'thriller', 'action']","['romance', 'animated', 'science fiction', 'fantasy']"
294,Isabella Rodriguez,F,"a software developer and loves playing slot cars. She enjoys watching drama, comedy, science fiction, and romance movies. She is a very creative person and loves to explore new ideas. She finds",41,Software Developer,Slot car,"['drama', 'comedy', 'science fiction', 'romance']","['crime', 'animated', 'documentary']"
295,Liam Murphy,M,"retired and loves playing board sports. He enjoys watching comedy, action, romance, and fantasy movies. He is a very adventurous person and loves to explore new things. He finds comedy movies very entertaining and loves the excitement that comes with watching action movies. He is not a fan of horror and crime films, as he finds them too disturbing and not relatable to his life. He is a big fan of fantasy films and believes that they have the power to take you to a different world.",61,retired,Board sports,"['comedy', 'action', 'romance', 'fantasy']","['horror', 'crime']"
296,Emily Johnson,F,"an aspiring photographer who loves to capture the beauty in everyday life. She has a passion for soccer and plays on a local women's team in her spare time. She is a very outgoing and adventurous person, always up for trying new things. She loves watching action and fantasy movies, as she enjoys being swept away to a different world. She also enjoys watching documentaries, as she finds them informative and educational. She has a good sense of humor and loves watching comedies to unwind after a long day of work. Emily dislikes science fiction movies, as she finds them too unrealistic and hard to follow. She also dislikes thriller movies, as they tend to be too intense and suspenseful for her liking.",25,Photographer,Soccer,"['action', 'fantasy', 'documentary', 'comedy']","['science fiction', 'thriller']"
297,John Smith,M,"a retired person who enjoys building model aircraft in his spare time. He is a very detail-oriented person and enjoys the precision of building these models. He is a fan of animated movies, as he enjoys the colorful worlds and characters that they bring to life. He also enjoys watching fantasy movies, as he loves being transported to different worlds and realms. He enjoys watching dramas as well, as they often portray realistic stories that he can relate to. He also enjoys watching thriller movies, as they keep him on the edge of his seat and provide a sense of suspense. John dislikes adventure movies, as he finds them too unrealistic and implausible. He also dislikes science fiction movies, as they tend to be too complex and difficult to follow. He also dislikes romance movies, as they tend to be too predictable and formulaic.",67,retired,Model aircraft,"['animated', 'fantasy', 'drama', 'thriller']","['adventure', 'science fiction', 'romance']"
298,Sarah Lee,F,"an architect who is passionate about her work. She enjoys playing croquet in her spare time, as it is a great way to unwind and relax. She is a fan of documentary movies, as she finds them informative and educational. She also enjoys watching adventure movies, as they often portray exciting and dangerous journeys. She has a good sense of humor and loves watching comedies to make her laugh. She also enjoys watching dramas, as they often portray realistic stories that she can relate to. Sarah dislikes thriller movies, as they tend to be too intense and suspenseful for her liking. She also dislikes fantasy movies, as they tend to be too unrealistic and hard to follow.",40,Architect,Croquet,"['documentary', 'adventure', 'comedy', 'drama']","['thriller', 'fantasy']"
299,James Brown,M,a student who loves to go camping in,16,student,Camping,"['documentary', 'science fiction', 'romance', 'adventure']",['fantasy']
300,Alex,M,"an event planner and loves his job. He is a big fan of video games, spending most of his free time playing them. He is also a big fan of action movies, and loves to watch animated movies too. He finds horror movies exciting and funny. He is not a big fan of thriller or fantasy movies. Some of his favorite movies are ""Call of Duty: Modern Warfare"", ""The Incredibles"", ""Jumanji"" and ""The Nightmare Before Christmas"". He is always looking for new and exciting games and movies to play and watch.",52,Event Planner,Video gaming,"['action', 'animated', 'horror', 'comedy']","['thriller', 'fantasy']"
301,Sophia,F,"a mechanic and loves her job. She is a big fan of croquet, spending most of her free time playing it. She is also a big fan of comedy, horror and thriller movies, and loves to watch animated movies too. She is not a big fan of action or science fiction movies. Some of her favorite movies are ""The Addams Family"", ""The Shining"", ""Psycho"" and ""Up"". She is always looking for new and exciting games and movies to play and watch.",54,Mechanic,Croquet,"['comedy', 'horror', 'thriller', 'animated']","['action', 'science fiction']"
302,Ryan,M,"retired and loves his free time. He is a big fan of sailing, spending most of his free time on the water. He is also a big fan of crime, science fiction, action and thriller movies. He is not a big fan of animated or romance movies. Some of his favorite movies are ""The Godfather"", ""Blade Runner"", ""Die Hard"" and ""The Silence of the Lambs"". He is always looking for new and exciting movies to watch.",63,retired,Sailing,"['crime', 'science fiction', 'action', 'thriller']","['animated', 'romance']"
303,Ava,F,"an interior designer and loves her job. She is a big fan of Mahjong, spending most of her free time playing it. She is also a big fan of adventure, crime, documentary and drama movies. She is not a big fan of horror or thriller movies. Some of her favorite movies are ""Indiana Jones"", ""The Departed"", ""13th"" and ""The Grand Budapest Hotel"". She is always looking for new and exciting games and movies to play and watch.",32,Interior Designer,Mahjong,"['adventure', 'crime', 'documentary', 'drama']","['horror', 'thriller']"
304,Alexa Johnson,F,"a schoolchild, she loves puppetry and spending time with her friends. She is fascinated by the art of puppetry and enjoys creating her own puppets. She is a curious and imaginative child, always eager to learn something new. Alexa's favorite genres are thriller, documentary, animated and drama, she enjoys watching movies that are engaging and thought-provoking, with strong storylines and well-developed characters. She is particularly fond of the Toy Story trilogy and The Muppets.",5,schoolchild,Puppetry,"['thriller', 'documentary', 'animated', 'drama']","['horror', 'fantasy']"
305,Jack Taylor,M,"a receptionist and has a great interest in medical science. He is always reading books and watching documentaries about the latest medical breakthroughs. He is also a fan of crime, adventure, and drama genres, enjoying movies that are based on true events or with strong character development. He is a big fan of the TV show House M.D and the movie The Imitation Game. He dislikes thriller, fantasy, horror and action movies.",38,Receptionist,Medical science,"['documentary', 'crime', 'adventure', 'drama']","['thriller', 'fantasy', 'horror', 'action']"
306,Ava Thompson,F,"a schoolchild and loves building with Lego. She enjoys creating different structures and also playing with her friends. She is a big fan of thriller, crime, drama, and comedy genres. She enjoys watching movies that have a good storyline and keep her engaged. She is particularly fond of the Lego Movie and The Girl with the Dragon Tattoo. She dislikes fantasy and romance movies.",6,schoolchild,Building with Lego,"['thriller', 'crime', 'drama', 'comedy']","['fantasy', 'romance']"
307,Mark Williams,M,"a chemical engineer and loves longboarding. He enjoys the thrill of speed and the feeling of freedom that comes with it. He is a fan of animated, horror, romance, and thriller genres. He enjoys watching movies that are unique and thought-provoking. He is particularly fond of the anime movie Your Name and the horror movie The Conjuring. He dislikes crime, action, fantasy, and drama movies.",39,Chemical Engineer,Longboarding,"['animated', 'horror', 'romance', 'thriller']","['crime', 'action', 'fantasy', 'drama']"
308,Emily Adams,F,"a retired accountant who enjoys spending her days practicing meditation and reading. She is a calm and collected person who values her peace and quiet. Her favorite genres are action, drama, comedy, and romance movies, which she finds to be entertaining and easy to watch. She enjoys watching movies that have strong female leads, such as ""Thelma and Louise"" and ""Steel Magnolias"". She also enjoys comedies that make her laugh, like ""The Best Exotic Marigold Hotel"" and ""The Intern"". She doesn't like watching thriller movies as they tend to be too intense for her and she doesn't enjoy watching animated movies as she finds them to be too childish.",65,retired,Meditation,"['action', 'drama', 'comedy', 'romance']","['thriller', 'animated']"
309,Ethan Green,M,"an administrator who enjoys playing handball and going to the gym. He is a thrill-seeker who loves watching action and drama movies. His favorite genres are action, drama, romance, and thriller movies. He loves watching movies that have intense action scenes, like ""The Avengers"" and ""Fast and Furious"". He also enjoys watching psychological thrillers such as ""Gone Girl"" and ""The Girl on the Train"". He dislikes watching documentary, horror, animated, and crime movies as they don't match his taste for thrill and excitement.",28,Administrator,Handball,"['action', 'drama', 'romance', 'thriller']","['documentary', 'horror', 'animated', 'crime']"
310,Isabella Martinez,F,"a retired teacher who loves hiking and exploring the outdoors. She is an intellectual person who enjoys watching thought-provoking films. Her favorite genres are action, science fiction, documentary, and drama movies. She loves watching movies that make her think, like ""Interstellar"" and ""The Martian"". She also enjoys watching",63,retired,Hiking,"['action', 'science fiction', 'documentary', 'drama']","['thriller', 'romance']"
311,William Johnson,M,"a schoolchild who loves doing science experiments and playing with his friends. He is a curious and adventurous child who loves watching movies that are exciting and adventurous. His favorite genres are drama, science fiction, adventure, and fantasy movies. He loves watching movies that have cool special effects, like ""Star Wars"" and ""Jurassic Park"". He also enjoys watching movies with adventure and fantasy elements, like ""Indiana Jones"" and ""The Chronicles of Narnia"". He doesn't like watching romance, animated, horror, and action movies as they don't match his taste for adventure and excitement.",4,schoolchild,Science experiments,"['drama', 'science fiction', 'adventure', 'fantasy']","['romance', 'animated', 'horror', 'action']"
312,Alex Johnson,F,"a schoolchild and her main hobby is singing. She enjoys listening to music and reading books in her free time. Alex is known for her creativity and her sense of humor. She is a very active person and loves to spend time outdoors. Her favorite genres are thriller, crime, romance, and adventure. She enjoys watching movies that keep her on the edge of her seat and that have a strong plot. Alex is not a big fan of horror movies, as she finds them too scary and unsettling. She also doesn't like science fiction movies, as she finds them too hard to follow and not very engaging.",13,schoolchild,Singing,"['thriller', 'crime', 'romance', 'adventure']","['horror', 'science fiction', 'drama']"
313,Emily Smith,F,"an Aerospace Engineer and her main hobby is science and technology studies. She enjoys reading books and watching movies that deal with science and technology. Emily is a very analytical person and loves to understand how things work. She is known for her intelligence and her attention to detail. Her favorite genres are crime, drama, adventure, and thriller. She enjoys watching movies that have a strong plot and that keep her engaged. Emily is not a big fan of romantic movies, as she finds them too predictable and not very realistic. She also doesn't like horror movies, as she finds them too gory and not very appealing.",48,Aerospace Engineer,Science and technology studies,"['crime', 'drama', 'adventure', 'thriller']",[]
314,Jack Thompson,M,"a Stockbroker and his main hobby is breakdancing. He enjoys practicing and performing his breakdancing moves. He is known for his energy and his charisma. He loves to watch movies that have a lot of action and that are funny. His favorite genres are action, comedy, crime, and science fiction. He enjoys watching movies that have a lot of special effects and that are very visually appealing. Jack is not a big fan of fantasy movies, as he finds them too unrealistic and not very engaging. He also doesn't like thriller movies, as he finds them too predictable and not very exciting. He also doesn't like animated movies or documentary movies, as he finds them too childish and not very interesting.",31,Stockbroker,Breakdancing,"['action', 'comedy', 'crime', 'science fiction']","['fantasy', 'thriller', 'animated', 'documentary']"
315,Sarah Lee,F,"a schoolchild and her main hobby is playing card games. She enjoys playing with her friends and family and learning new games. She is known for her curiosity and her kindness. She loves to watch movies that are very colorful and that have a lot of action. Her favorite genres are adventure, romance, action, and science fiction. She enjoys watching movies that have a lot of special effects and that are very visually appealing. Sarah is not a big fan of fantasy movies, as she finds them too unrealistic and not very engaging. She also doesn't like animated movies, as she finds them too childish and not very interesting. She also doesn't like horror movies, as they are too scary and",4,schoolchild,Card games,"['adventure', 'romance', 'action', 'science fiction']","['fantasy', 'animated', 'horror']"
316,Ava Grey,F,"retired and enjoys her free time by reading and publishing her own novels. She is an avid reader of horror, thriller and action novels. She also likes watching movies that are similar to her favorite genres. Ava is a big fan of Alfred Hitchcock and Stephen King, and her favorite movies are Psycho, The Shining, and Vertigo. She also enjoys watching classic movies from the 1930s and 1940s, such as Casablanca and Gone with the Wind. Ava is not a fan of crime or fantasy movies, and she finds romance and comedy movies to be uninteresting.",74,retired,publishing,"['action', 'horror', 'thriller', 'drama']","['crime', 'fantasy', 'romance', 'comedy']"
317,Max Johnson,M,"a broadcast technician and a powerlifting enthusiast. In his free time, he enjoys watching movies that are related to his hobbies. Max is a big fan of science fiction and documentary movies, and his favorite movies are Blade Runner, The Matrix, and 2001: A Space Odyssey. He also enjoys watching comedies and dramas, such as The Hangover and The Shawshank Redemption. Max is not a fan of romance, thriller, or animated movies. He finds them to be uninteresting and lacking in substance.",42,Broadcast Technician,Powerlifting,"['drama', 'comedy', 'documentary', 'science fiction']","['romance', 'thriller', 'animated']"
318,Olivia Thompson,F,"a schoolchild and loves to sing. She enjoys watching movies that are related to her hobbies, such as action, adventure, and fantasy movies. Her favorite movies are Frozen, Moana, and The Little Mermaid. She also enjoys watching documentary movies about animals and nature. Olivia is not a fan of horror or crime movies, and she finds comedy movies to be silly and not interesting.",6,schoolchild,Singing,"['action', 'adventure', 'documentary', 'fantasy']","['horror', 'crime', 'comedy']"
319,Ethan Brown,M,"a schoolchild and enjoys playing tennis. He enjoys watching movies that are related to his hobbies, such as science fiction, adventure, horror, and thriller movies. His favorite movies are Star Wars, Jurassic Park, and The Exorcist. He also enjoys watching scary movies, such as The Conjuring and The Purge. Ethan is not a fan of drama, animated, romance, or action movies. He finds them to be boring and not interesting.",8,schoolchild,Tennis,"['science fiction', 'adventure', 'horror', 'thriller']","['drama', 'animated', 'romance', 'action']"
320,Ava Smith,F,"a schoolchild and loves to act, she is very talented in acting, and has taken part in several school plays. She is a very curious child who loves to learn new things, she is always asking questions and looking for answers. She loves to watch documentaries, thrillers, crime and drama movies. Her favorite movies include ""Moonlight"" and ""The Shawshank Redemption"". She is fascinated by the complexity and reality of these genres, and the way they can be used to tell a story.",8,schoolchild,Acting,"['thriller', 'documentary', 'crime', 'drama']","['science fiction', 'horror', 'fantasy', 'romance']"
321,James Johnson,M,"retired and loves to take care of his ant farm, he is very passionate about his hobby and spends a lot of time observing the ants and learning about their behavior. He is a very kind and soft-hearted person who loves to help others. He loves to watch drama, romance, comedy and fantasy movies. His favorite movies include ""The Notebook"" and ""The Wizard of Oz"". He is drawn to these genres because they are emotional and imaginative, and they make him feel connected to his emotions and the world around him.",68,retired,Ant farming,"['drama', 'romance', 'comedy', 'fantasy']",['documentary']
322,Lily Chen,F,"a student and a car enthusiast, she loves to customize her car's audio system and loves to go on long drives. She is a very independent and strong-willed person, she is always looking for new challenges and adventures. She loves to watch thriller, adventure, action and science fiction movies. Her favorite movies include ""Mad Max: Fury Road"" and ""The Hunger Games"". She loves the intensity and excitement of these genres, and how they can be used to tell a story of survival and self-discovery.",16,student,Auto audiophilia,"['thriller', 'adventure', 'action', 'science fiction']",['romance']
323,William Green,M,"a technical writer and loves to study microbiology in his free time, he loves to learn about the microscopic world and how it affects our daily lives. He is a very analytical and logical person, he loves to read and write about science, technology and history. He loves to watch documentary, drama, adventure and fantasy movies. His favorite movies include ""Jurassic Park"" and ""The Tree of Life"". He loves the way these genres can be used to explore complex ideas and concepts, and how they can be used to tell a story of discovery and wonder.",36,Technical Writer,Microbiology,"['documentary', 'drama', 'adventure', 'fantasy']","['romance', 'crime', 'science fiction']"
324,Alex Miller,M,"an advertising executive that has been working for the same company for the last 30 years. He is a well-dressed man, who is always well-groomed. He is passionate about poker and has been playing it for the last 20 years. He enjoys spending his free time with his friends, discussing politics and playing poker. He is a big fan of documentary films, and enjoys learning new things from them. He is also a big fan of comedy, especially satire and black comedy. He loves watching action films, especially those with a science fiction twist. He enjoys watching movies that are thought-provoking and that make him think.",60,Advertising Executive,Poker,"['documentary', 'comedy', 'action', 'science fiction']","['fantasy', 'adventure', 'animated', 'horror']"
325,Emily Wilson,F,"a bricklayer who is passionate about her work. She is also a big animal lover and has a menagerie of pets at home. In her free time, she enjoys reading books about animals and watching documentaries about them. She is a big fan of animated films, and enjoys the imaginative stories and characters they offer. She also loves watching adventure films, especially those set in exotic locations. She is a big fan of science fiction films, and enjoys the endless possibilities that the genre offers. She doesn't like horror or fantasy films, as they are too scary and unrealistic for her taste.",27,Bricklayer,Animal fancy,"['drama', 'animated', 'adventure', 'science fiction']","['horror', 'fantasy']"
326,Tom Green,M,"a schoolchild who is in the sixth grade. He is passionate about playing the drums, and enjoys playing in a school band. He is a big fan of drama films, and enjoys the emotional depth and complexity of the stories. He is also a big fan of science fiction films, and enjoys the endless possibilities that the genre offers. He loves watching comedy films, especially those with a crime element. He doesn't like fantasy or adventure films, as they are too unrealistic for his taste. He also doesn't like animated films, as they are too childish for his taste.",11,schoolchild,Playing drums,"['drama', 'science fiction', 'comedy', 'crime']","['fantasy', 'adventure', 'animated', 'action']"
327,Sarah Johnson,F,"an architect who has been working in the field for the last 30 years. She is a big fan of comedy films, and enjoys the light-hearted and humorous stories. She is also a big fan of documentary films, and enjoys learning new things from them. She loves watching crime films, especially those set in the 1920s. She is also a big fan of drama films, and enjoys the emotional depth and complexity of the stories. She doesn't like horror or fantasy films, as they are too scary and unrealistic for her taste. She also doesn't like animated films, as they are too childish for her taste.",58,Architect,Fishing,"['comedy', 'documentary', 'crime', 'drama']","['horror', 'animated']"
328,Ethan Thompson,M,"a bricklayer by profession and his passion for public transport started when he was a child, he loved to ride the bus and observe the city from a different perspective. He also enjoys reading books in his free time, and his favorite genres are animated, drama, comedy, and thriller. He finds himself transported to another world when watching animation films, and he's always on the lookout for a good drama to watch. He loves to laugh and finds comedy movies a great stress-reliever. He has a special interest in crime stories and finds thriller movies to be an exciting way to spend his leisure time. He dislikes action movies, as he finds them too loud and over-the-top.",25,Bricklayer,Public transport riding,"['animated', 'drama', 'comedy', 'thriller']",['action']
329,Olivia Johnson,F,"a technical writer by profession, but her true passion is rock painting. She finds peace in painting rocks and giving them new life. She also enjoys hiking and the outdoors, which often inspires her artistic creations. She loves watching action, adventure, crime, and documentary films. She finds action movies to be an adrenaline-packed thrill ride and adventure films to be inspiring. She is fascinated by true crime stories and finds documentaries to be a great way to learn about the world. She dislikes drama and animated films as she finds them too predictable and unrealistic. She is also not a fan of fantasy films, as she finds them too fictional and unrelatable.",28,Technical Writer,Rock painting,"['action', 'adventure', 'crime', 'documentary']","['drama', 'animated', 'fantasy']"
330,Mark Davis,M,"in the third grade and his passion for acting started when he was in kindergarten. He loves to be on stage and perform for an audience. He also enjoys reading books and watching movies, his favorite genres are drama, adventure, fantasy, and action. He loves to be transported to another world while watching movies and find adventure films to be an exciting way to spend his free time. He loves fantasy movies as they take him on a magical journey, and action movies are his favorite as they are filled with excitement. He dislikes animated films as he finds them childish and not interesting, and he also doesn't like horror films as they are too scary for him.",7,schoolchild,Acting,"['drama', 'adventure', 'fantasy', 'action']","['animated', 'horror']"
331,Ava Taylor,F,"a chaplain by profession, but her true passion is slot car racing. She loves the feeling of speed and competition. She also enjoys reading books and watching movies, her favorite genres are adventure, thriller, drama, and romance. She loves to be transported to another world while watching movies and finds adventure films to be an exciting way to spend her free time. She loves thriller films as they keep her on the edge of her seat, and drama films as they are relatable to real life. She also loves romance films as they give her hope for love. She dislikes science fiction, documentary, and horror films as",25,Chaplain,Slot car racing,"['adventure', 'thriller', 'drama', 'romance']","['science fiction', 'documentary', 'horror']"
332,Ava Green,F,"a coachbuilder who loves to work with her hands, she is very skilled in her job, she is passionate about her work, and she takes pride in every project she completes. In her free time, Ava loves to train her dogs, she finds it very relaxing and it helps her to de-stress. She also enjoys reading crime novels, watching action and thriller movies and listening to comedy podcasts. Ava is not a fan of documentaries, she finds them boring and uninteresting. She also doesn't like horror movies, she finds them too scary and not worth her time.",47,Coachbuilder,Dog training,"['action', 'thriller', 'comedy', 'crime']","['documentary', 'fantasy', 'horror']"
333,Oliver Johnson,M,"a car salesperson, he loves to learn about new cars, and he is always up-to-date with the latest technology and trends. In his free time, Oliver enjoys watching documentaries, he finds them very informative and interesting. He also loves to watch comedy and adventure movies, he finds them very entertaining and fun to watch. He also enjoys reading crime novels, and learning about different crimes and investigations. Oliver is not a fan of action movies, he finds them too violent and not worth his time. He also doesn't like fantasy, animated and romance movies, he finds them too unrealistic and not worth his time.",42,Car Salesperson,Learning,"['comedy', 'adventure', 'documentary', 'crime']","['action', 'fantasy', 'animated', 'romance']"
334,Lily Wilson,F,"a building inspector, she is very detail-oriented and she loves to inspect different buildings and properties. In her free time, Lily loves to play darts, she finds it very exciting and challenging. She also enjoys watching animated movies, she finds them very entertaining and fun to watch. She also loves to watch adventure and romance movies, she finds them very romantic and exciting. She also enjoys watching thriller movies, they make her heart race and keep her on the edge of her seat. Lily is not a fan of horror movies, she finds them too scary and not worth her time. She also doesn't like comedy movies, she finds them too unfunny and not worth her time.",32,Building Inspector,Darts,"['animated', 'adventure', 'romance', 'thriller']","['horror', 'comedy']"
335,William Clark,M,"retired, he loves to read and learn about history, he finds it very interesting and fascinating. In his free time, William enjoys watching documentaries, he finds them very informative and interesting. He also loves to watch science fiction and adventure movies, he finds them very imaginative and exciting. He also enjoys reading romance novels, he finds them very romantic and entertaining. William is not a fan of horror movies, he finds them too scary and not worth his time. He also doesn't like action movies, he finds them too violent and not worth his time.",70,retired,History,"['romance', 'science fiction', 'documentary', 'adventure']",[]
336,Ethan Thompson,M,"recently retired and enjoys his leisure time by watching movies. He is a big fan of animation and comedy movies, and can spend hours watching them. He is also fond of documentary movies and loves to learn something new from them. He enjoys fantasy movies, where he can escape from reality and explore new worlds. He doesn't like adventure movies as he finds them too risky and not suitable for his age. He also dislikes horror and drama movies as he finds them too intense and disturbing. He prefers romance movies but only if they have a happy ending.",61,retired,Leaves,"['animated', 'comedy', 'documentary', 'fantasy']","['adventure', 'horror', 'drama', 'romance']"
