name,gender,description,age,job,hobby,categories_liked,categories_disliked
Emily Smith,F,"an avid air hockey player and enjoys playing the game with her friends. She is retired and enjoys reading books on a variety of topics. She likes to read books that are related to her interests, such as books on Business and History. She also enjoys reading books on Fiction, as she loves to get lost in imaginary worlds and explore different characters and plotlines. She also likes to read books on Relationships, as she is interested in learning about different relationships and how to improve them. However, she doesn't enjoy reading books on Computers, Foreign Language Study, Autobiography, and Fitness. She finds them to be too technical and not engaging enough for her interests.",72,retired,Air hockey,"['Business', 'History', 'Fiction', 'Relationships']","['Computers', 'Foreign Language Study', 'Autobiography', 'Fitness']"
Michael Johnson,M,"a basketball player and loves to play the game with his friends. He is currently in school and enjoys learning new things. He enjoys reading books that are related to his hobby, such as books on basketball and sports. He also likes to read books",5,schoolchild,Basketball,"['Fiction', 'Economics', 'Family', 'Autobiography']","['History', 'Pets', 'Religion', 'Sports']"
Sarah Johnson,F,"a student of chemistry, who spends most of her time in the lab, she is very passionate about her work, always eager to learn new things, she is also a big fan of literary criticism, and has a great interest in computers, she spends most of her free time reading about the latest advancements and technologies. Sarah is also interested in reading biographies, especially those of famous scientists, she finds it very inspiring to read about their struggles and achievements. She is also very health-conscious and reads a lot about nutrition and fitness. Sarah's least favorite categories are body, fiction, autobiography, and juvenile fiction. She finds them to be too unrealistic and lacking in substance. Some of her favorite books include ""The Double Helix"" by James D. Watson, ""The Structure of Scientific Revolutions"" by Thomas S. Kuhn, and ""The Code Book"" by Simon Singh. In terms of movies, Sarah is a big fan of sci-fi and action films, her favorite movies include ""The Matrix,"" ""The Terminator,"" and ""Inception."" She also enjoys documentaries about science and technology.",23,student,Chemistry,"['Literary Criticism', 'Computers', 'Biography', 'Health']","['Body', 'Fiction', 'Autobiography', 'Juvenile Fiction']"
Jack Thompson,M,"a casino dealer, who spends most of his time around the tables, he is very good at what he does, and has a great eye for details, He also has a great hobby of skimboarding, he spends most of his weekends at the beach, He also has a great interest in reading, he likes reading about different disciplines, biographies of famous personalities, and travel books, He also reads a lot about business, He finds it very interesting to read about the latest trends and strategies. Jack's least favorite categories are education, fiction, games, and computers. He finds them to be too abstract and not practical. Some of his favorite books include ""The Art of War"" by Sun Tzu, ""The Autobiography of Benjamin",37,Casino Dealer,Skimboarding,"['Disciplines', 'Biography', 'Travel', 'Business']","['Education', 'Fiction', 'Games', 'Computers']"
Emily Wilson,F,"a schoolchild, who loves playing volleyball, she is very good at it, and enjoys playing with her team. She is also a big fan of reading, her favorite categories are juvenile fiction, religion, biography, and education. She finds them to be very inspiring and easy to understand. Emily's least favorite categories are photography, relationships, mind, and computers. She finds them to be too mature and not interesting. Some of her favorite books include ""The One and Only Ivan"" by Katherine Applegate, ""The Hunger Games"" by Suzanne Collins, and ""The Giver"" by Lois Lowry. In terms of movies, Emily loves watching Disney movies, her favorite movies include ""The Lion King"" and ""Frozen."" She also enjoys watching family-friendly comedies.",13,schoolchild,Volleyball,"['Juvenile Fiction', 'Religion', 'Biography', 'Education']","['Photography', 'Relationships', 'Mind', 'Computers']"
David Lee,M,"a detective inspector, who spends most of his time solving crimes, he is very good at what he does, and has a great eye for details. He also has a great hobby of kart racing, he spends most of his weekends on the track, He also has a great interest in reading, he likes reading about art, different",56,Detective Inspector,Kart racing,"['Art', 'Disciplines', 'Juvenile Fiction', 'Drama']","['Autobiography', 'Hobbies', 'Architecture', 'Family']"
Michael Johnson,M,"an avid water polo player and loves to keep himself fit and active. He works as an optician and has a keen interest in the eye care industry. His favorite category is Autobiography as he loves to read about real-life experiences of people, their struggles and successes. He also enjoys reading books related to fitness and body as he believes in maintaining a healthy lifestyle. He dislikes reading about spirituality, computers and business as he finds these topics uninteresting.",52,Optician,Water polo,"['Autobiography', 'Fitness', 'Body', 'Fiction']","['Spirit', 'Computers', 'Business', 'Philosophy']"
Sarah Lee,F,"passionate about playing the drums and enjoys participating in various music activities. She is a school child and is currently focused on her education. Her favorite category is history as she is fascinated by the past and loves to read about different cultures and civilizations. She also enjoys reading cooking and reference books as she likes to learn new recipes and facts. She dislikes reading fiction as she finds it unrealistic and boring, she also dislikes reading about crafts and nature as she finds these topics uninteresting.",10,schoolchild,Playing drums,"['History', 'Cooking', 'Reference', 'Health']","['Fiction', 'Crafts', 'Nature', 'Biography']"
William Smith,M,"an avid VR gamer and enjoys spending his free time playing different games. He is retired and enjoys reading books on various topics. His favorite category is religion as he is deeply spiritual and enjoys reading about different religious beliefs and practices. He also enjoys reading books related to history and spirit as he finds these topics interesting. He dislikes reading self-help books as he finds these books unhelpful and boring, he also dislikes reading about engineering and biography as he finds these topics uninteresting. He also dislikes reading about family as he believes that these books are not relevant to him.",63,retired,VR gaming,"['Religion', 'History', 'Spirit', 'Juvenile Nonfiction']","['Self-Help', 'Engineering', 'Biography', 'Family']"
Emily Kim,F,"an enthusiastic participant in water sports and loves to challenge herself in the water. She is an apprentice and is currently learning various skills. Her favorite category is history as she finds the past fascinating and enjoys reading about different cultures and civilizations. She also enjoys reading books related to technology and fiction as she is interested in new inventions and imaginative stories. She dislikes reading about hobbies as she finds these books uninteresting, she also dislikes reading about mathematics and economics as she finds these topics boring. She also dislikes reading juvenile nonfiction as she believes that these books are not relevant to her.",24,apprentice,Water sports,"['History', 'Technology', 'Fiction', 'Relationships']","['Hobbies', 'Mathematics', 'Juvenile Nonfiction', 'Economics']"
Emily Thompson,F,"an aircraft spotter, and she loves to spend her time observing planes and studying their characteristics. Her favorite hobby is aircraft spotting, and she enjoys it immensely. She is a retired person who loves to read and learn about new things. Her favorite category is House, and she enjoys reading about interior design and architecture. She is also interested in Fiction and Computers, and enjoys reading about the latest technology and gadgets. She is also interested in Economics and enjoys reading about the stock market and the economy.",63,retired,Aircraft spotting,"['House', 'Fiction', 'Computers', 'Economics']","['Disciplines', 'Poetry', 'Philosophy', 'Self-Help']"
James Johnson,M,"a Dialysis Technician, and he loves to practice slacklining as a hobby. He is an adventurous person who loves to take risks and try new things. His favorite hobby is slacklining, and he enjoys it immensely. He is a big fan of Autobiography and enjoys reading about the lives of famous people. He is also interested in Computers, and enjoys reading about the latest technology and gadgets. He is also interested in Fiction, and enjoys reading novels and short stories. He is also interested in Health and enjoys reading about nutrition and fitness. He doesn't like humor, hobbies, medical and social science books.",40,Dialysis Technician,Slacklining,"['Autobiography', 'Computers', 'Fiction', 'Health']","['Humor', 'Hobbies', 'Medical', 'Social Science']"
Sarah Davis,F,"a Sports Coach, and she loves to collect dolls as a hobby. She is a creative person who loves to express herself through her hobbies. Her favorite hobby is collecting dolls, and she enjoys it immensely. She is a big fan of Cooking and enjoys reading cookbooks and trying new recipes. She is also interested in Fiction, and enjoys reading novels and short stories. She is also interested in Biography and enjoys reading about the lives of famous people. She is also interested in Economics and enjoys reading about the stock market and the economy. She doesn't like autobiography, religion, crafts and mind books.",58,Sports Coach,Dolls,"['Cooking', 'Fiction', 'Biography', 'Economics']","['Autobiography', 'Religion', 'Crafts', 'Mind']"
William Brown,M,"a student, and he loves to publish books as a hobby. He is a creative person who loves to express himself through his hobbies. His favorite hobby is publishing books, and he enjoys it immensely. He is a big fan of Juvenile Fiction and enjoys reading books for young readers. He is also interested in Cooking, and enjoys reading cookbooks and trying new recipes. He is also interested in Business, and enjoys reading about entrepreneurship and the economy. He is also interested in Economics, and enjoys reading about the stock market and the economy. He doesn't like health, fiction, reference, and juvenile nonfiction books.",23,student,publishing,"['Juvenile Fiction', 'Cooking', 'Business', 'Economics']","['Health', 'Fiction', 'Reference', 'Juvenile Nonfiction']"
Alex Johnson,M,"an occupational therapist by profession and has a great passion for kabaddi. He is an avid reader who enjoys reading books in the categories of House, Juvenile Fiction, Hobbies, and Social Science. He finds these categories to be engaging and interesting, they offer him a chance to learn new things and expand his knowledge. He is not a big fan of books in the categories of Health, Activities, Recreation, and Literary Criticism. He finds these categories to be too technical and less engaging. He prefers reading books that are easy to understand and informative.",36,Occupational Therapist,Kabaddi,"['House', 'Juvenile Fiction', 'Hobbies', 'Social Science']","['Health', 'Activities', 'Recreation', 'Literary Criticism']"
Lily Green,F,"an apprentice by profession and loves to go backpacking in her free time. She is also an avid reader who enjoys reading books in the categories of Fiction, Family, Economics, and Reference. She finds these categories to be interesting and engaging, they offer her a chance to escape into different worlds and learn about different cultures. She is not a big fan of books in the categories of Disciplines, Juvenile Fiction, Juvenile Nonfiction, and History. She finds these categories to be too dry and less engaging. She prefers reading books that are easy to understand and informative.",21,apprentice,Backpacking,"['Fiction', 'Family', 'Economics', 'Reference']","['Disciplines', 'Juvenile Fiction', 'Juvenile Nonfiction', 'History']"
Ethan Williams,M,"retired and loves to go geocaching in his free time. He is also an avid reader who enjoys reading books in the categories of Self-Help, Social Science, Language Arts, and Juvenile Fiction. He finds these categories to be interesting and informative, they offer him a chance to learn new things and expand his knowledge. He is not a big fan of books in the categories of Computers, Fiction, Foreign Language Study, and History. He finds these categories to be too technical and less engaging. He prefers reading books that are easy to understand and informative.",65,retired,Geocaching,"['Self-Help', 'Social Science', 'Language Arts', 'Juvenile Fiction']","['Computers', 'Fiction', 'Foreign Language Study', 'History']"
Maya Patel,F,"a postal worker by profession and loves to animate in her free time. She is also an avid reader who enjoys reading books in the categories of Religion, Political Science, Fiction, and Juvenile Nonfiction. She finds these categories to be interesting and engaging, they offer her a chance to learn about different cultures and expand her knowledge. She is not a big fan of books in the categories of Travel, Biography, Juvenile Fiction, and Health. She finds these categories to be too dry and less engaging. She prefers reading books that are easy to understand and informative.",27,Postal Worker,Animation,"['Religion', 'Political Science', 'Fiction', 'Juvenile Nonfiction']","['Travel', 'Biography', 'Juvenile Fiction', 'Health']"
Aaliyah Johnson,F,"an Engineer who's passionate about Dandyism, she loves to dress sharp and classy, and always wants to look her best. She's a big fan of history, especially the Victorian era, and enjoys reading about the lives of royalty and nobility. She also loves reading fiction, especially mystery and suspense novels. Religion is also a topic of interest for her, and she enjoys reading about different religions and their beliefs. She also loves reading comics, especially those that are related to science fiction and fantasy. She's not a big fan of relationships books, as she finds them too sappy and unrealistic. She also doesn't like reading about sports or economics, as she finds them boring and uninteresting. She's also not a big fan of autobiography, as she finds them self-centered and not interesting enough.",50,Engineer,Dandyism,"['History', 'Fiction', 'Religion', 'Comics']","['Relationships', 'Autobiography', 'Sports', 'Economics']"
Ethan Kim,M,"a Door-to-Door Salesperson who's passionate about Dancing, he loves to express himself through movement and dance. He's a big fan of antiques, especially those that are related to dance, and enjoys reading about the history of different dance styles. He also loves reading fiction, especially science fiction and fantasy novels. He's also interested in psychology, and enjoys reading about different psychological theories and experiments. He's not a big fan of Juvenile Fiction, as he finds them too childish and unrealistic. He also doesn't like reading about history, as he finds it boring and uninteresting. He also doesn't like reading about economics, as he finds it too dry and uninteresting. He also doesn't like reading foreign language books, as he finds them too difficult and uninteresting.",30,Door-to-Door Salesperson,Dancing,"['Antiques', 'Fiction', 'Science', 'Psychology']","['Juvenile Fiction', 'History', 'Economics', 'Foreign Language Study']"
Maya Patel,F,"a Hotel Manager who's passionate about Storm chasing, she loves the thrill of chasing storms and experiencing nature's power. She's a big fan of cooking, and enjoys reading cookbooks and trying out new recipes. She's also interested in fitness, and enjoys reading about different workout routines and exercises. She's also into crafts, and loves to make her own jewelry and home decor items. She's also an art enthusiast, and enjoys reading about different art movements and artists. She's not a big fan of Business books, as she finds them too dry and uninteresting. She also doesn't like reading about Economics, as she finds it too boring and uninteresting. She also doesn't like reading about relationships, as she finds them too mushy and unrealistic. She also doesn't like reading Juvenile Fiction, as she finds them too childish and unrealistic.",35,Hotel Manager,Storm chasing,"['Cooking', 'Fitness', 'Crafts', 'Art']","['Business', 'Economics', 'Relationships', 'Juvenile Fiction']"
Alex Rodriguez,M,"a schoolchild who's passionate about Drawing and painting, he loves to express himself through art and create different characters and",5,schoolchild,Drawing and painting,"['Medical', 'Fiction', 'Religion', 'Philosophy']","['Economics', 'Biography', 'Health', 'Literary Criticism']"
Adrian Thompson,M,"a schoolchild who loves card games. He is very good at math and enjoys learning about economics. He likes to read books about history, science, and politics. He likes to play soccer and basketball during his free time. He is very organized and likes to keep his room tidy. He enjoys spending time with his family and friends, and he is always up for a game of cards.",9,schoolchild,Card games,"['Hobbies', 'Education', 'Home', 'Economics']","['Travel', 'Comics', 'Religion', 'Fiction']"
Emma Johnson,F,"an Art Director and loves to play rugby. She is very creative and enjoys reading books about art and design. She also enjoys reading medical books to learn more about health and wellness. She is a mother of two and enjoys reading books about parenting and family life. She also enjoys reading books that are aimed at children, as she loves spending time with her own children.",44,Art Director,Rugby,"['Autobiography', 'Medical', 'Juvenile Fiction', 'Family']","['Fiction', 'Biography', 'Health', 'Games']"
David Lee,M,"retired and loves to collect compact discs. He is very interested in technology and enjoys reading books about new inventions and innovations. He is also very religious and enjoys reading books about the Bible and theology. He likes to read books that can help him improve his memory and study skills. He is not very interested in books about family, history, or science.",72,retired,Compact discs,"['Fiction', 'Technology', 'Religion', 'Study Aids']","['Family', 'History', 'Juvenile Fiction', 'Science']"
Sophie Taylor,F,"an apprentice and loves to do exhibition drill. She is very ambitious and enjoys reading books about business and career development. She also enjoys reading books about spirituality and finding her inner peace. She likes to read books about cooking and trying new recipes. She is not very interested in self-help books, economics, or music.",23,apprentice,Exhibition drill,"['Autobiography', 'Business', 'Spirit', 'Cooking']","['Self-Help', 'Economics', 'Music', 'Home']"
Sarah Lee,F,"in the 6th grade and loves to play board games with her friends. Her favorite books are the ones that are about games, hobbies and anything related to medicine. She is fascinated by the human body, and loves to learn about the different organs, bones, and systems of the body. She is also interested in biographies and autobiographies, she loves to read about people who have achieved great things in their lives and how they overcame obstacles. She enjoys reading books that are educational and informative. Her favorite color is blue, and she loves to play with her dog after school. She has a special interest in science and technology, and enjoys learning about the latest advancements in these fields.",11,schoolchild,Board games ,"['Games', 'Hobbies', 'Medical', 'Autobiography']","['Travel', 'Social Science', 'Juvenile Nonfiction', 'Fiction']"
David Kim,M,"in the 8th grade and loves to draw and paint. He is very talented and has won several awards for his artwork. His favorite books are the ones that are about religion, social science, fiction and science. He is very interested in the world around him and loves to read about different cultures and beliefs. He enjoys reading books that are thought-provoking and make him think about the world in different ways. He is also interested in science and technology, and enjoys reading about the latest advancements in these fields. He has a special interest in the environment and enjoys reading about ways to protect the planet. He is also a member of the school's environmental club. He enjoys playing basketball and video games in his free time.",13,schoolchild,Drawing and painting,"['Religion', 'Social Science', 'Fiction', 'Science']","['Graphic Novels', 'Young Adult Fiction', 'History', 'Photography']"
Lily Johnson,F,"a call center operator and loves to play volleyball in her free time. She is very active and enjoys staying in shape. Her favorite books are the ones that are about fiction, economics, language arts and religion. She loves to read books that are entertaining and thought-provoking. She is very interested in economics and enjoys reading about different economic systems and how they work. She also enjoys reading books about religion and spirituality. She is a member of a local book club and enjoys discussing books with her friends. She enjoys listening to music and going to concerts in her free time.",35,Call Center Operator,Volleyball,"['Fiction', 'Economics', 'Language Arts', 'Religion']","['Juvenile Fiction', 'Health', 'Performing Arts', 'History']"
William Brown,M,a chemical engineer and loves to climb in his free time. He is very adventurous and loves to push himself to,31,Chemical Engineer,Climbing,"['Fiction', 'Body', 'Religion', 'Self-Help']","['Transportation', 'Art', 'Technology', 'Health']"
Aaliyah Patel,F,"an apprentice and her hobby is table tennis. Aaliyah is very passionate about her hobby and spends a lot of her free time playing and practicing. She is also very interested in collectibles, particularly vintage records and vinyls. She enjoys listening to all types of music and is particularly fond of indie and alternative genres. In her spare time, she also enjoys reading books on economics and fiction. She likes to read books that are both intellectually stimulating and entertaining. Some of her favorite books include ""The Alchemist"" by Paulo Coelho and ""The Wealth of Nations"" by Adam Smith. She is not very interested in recreation, history, social science or autobiography. She prefers to read books that are more focused on contemporary issues and personal development.",19,apprentice,Table tennis,"['Collectibles', 'Music', 'Fiction', 'Economics']","['Recreation', 'History', 'Social Science', 'Autobiography']"
David Thompson,M,"a school child and his hobby is writing stories. He is very creative and enjoys writing short stories and novels in his free time. He is also very interested in computers and technology, and spends a lot of time learning about new software and programming languages. He is also interested in history and enjoys reading books about different time periods and events. Some of his favorite books include ""The Chronicles of Narnia"" by C.S. Lewis and ""The Adventures of Tintin"" by Hergé. He is not very interested in philosophy, biography, poetry or religion. He prefers to read books that are more focused on adventure and exploration.",12,schoolchild,Writing stories,"['Fiction', 'Computers', 'Spirit', 'History']","['Philosophy', 'Biography', 'Poetry', 'Religion']"
Emily Johnson,F,"a waiter/waitress and her hobby is deltiology (postcard collecting). She enjoys collecting and studying old postcards, and is particularly interested in the history and culture of different countries. She is also interested in computers and technology, and enjoys learning about new software and hardware. She is also very interested in religion and enjoys reading books about different belief systems and spiritual practices. Some of her favorite books include ""The Bhagavad Gita"" by Krishna-Dwaipayana Vyasa and ""The Wealth of Nations"" by Adam Smith. She is not very interested in comics, poetry, biography or fiction. She prefers to read books that are more focused on spirituality and personal growth.",47,Waiter/Waitress,Deltiology (postcard collecting),"['Computers', 'History', 'Religion', 'Economics']","['Comics', 'Poetry', 'Biography', 'Fiction']"
Christopher Walker,M,"a school child and his hobby is collecting cards. He enjoys collecting different types of cards, including sports cards, trading cards, and collectible card game cards. He is also interested in self-help, spirituality, and religion, and enjoys reading books that help him understand the world and himself better. He is also interested in education and enjoys reading books that help him improve his grades and learning skills. Some of his favorite books include ""The Alchemist"" by",10,schoolchild,Collecting cards,"['Self-Help', 'Spirit', 'Religion', 'Education']","['Computers', 'Recreation', 'Biography', 'Business']"
Aman Sharma,M,"retired and his passion is antiquities, he loves to spend his time exploring antique shops and auctions, seeking rare and unique items from the past. His favorite genres of books are Fiction, Biography and Science, he enjoys reading stories that transport him to different worlds and times, and that make him think about the life and actions of people from the past. He also enjoys reading books about historical events and scientific discoveries. He dislikes books about Economics, Disciplines, Recreation, and Religion, as he finds them dry and uninteresting. He prefers reading physical books and does not enjoy reading on digital devices.",62,retired,Antiquities,"['Fiction', 'Biography', 'Science', 'History']","['Economics', 'Disciplines', 'Recreation', 'Religion']"
Sofia Rodriguez,F,"a schoolchild and her passion is cooking, she loves to spend her time in the kitchen, experimenting with different ingredients and recipes, and creating new dishes. Her favorite genres of books are Fiction, Computers, History and Relationships, she enjoys reading stories that take her on adventures and learning about different cultures and historical events. She also loves reading books about technology, and how it can be used to improve our lives. She dislikes books about Autobiography, Family, Cooking and Biography, as she finds them uninteresting and not relevant to her interests. She prefers reading physical books and does not enjoy reading on digital devices.",11,schoolchild,Cooking,"['Fiction', 'Computers', 'History', 'Relationships']","['Autobiography', 'Family', 'Cooking', 'Biography']"
David Lee,M,"a statistician and his passion is wrestling, he loves to spend his time watching wrestling matches, and learning about the different techniques and moves. His favorite genres of books are Fiction, Religion, History and Games, he enjoys reading stories that challenge his beliefs and make him think about the world and its inhabitants. He also enjoys reading books about religious history and the impact of religion on society. He dislikes books about Nature, Social Science, Family and Graphic Novels, as he finds them uninteresting and not relevant to his interests. He prefers reading physical books and does not enjoy reading on digital devices.",60,Statistician,Wrestling,"['Fiction', 'Religion', 'History', 'Games']","['Nature', 'Social Science', 'Family', 'Graphic Novels']"
Maya Patel,F,"a dairy farmer and her passion is sports science, she loves to spend her time studying the biomechanics of movement and the physiology of sports performance. Her favorite genres of books are Religion, History, Fiction and Computers, she enjoys reading books that help her understand the world and the people in it. She also loves reading books about science and technology, and how they can be used to improve the lives of people. She dislikes books about Engineering, Mathematics, Biography and Health, as she finds them uninteresting and not relevant to her interests. She prefers reading physical books and does not enjoy reading on digital devices.",55,Dairy Farmer,Sports science,"['Religion', 'History', 'Fiction', 'Computers']","['Engineering', 'Mathematics', 'Biography', 'Health']"
Amelia Parker,F,"a geologist and a passionate Jukskei player. She enjoys exploring the world of art and history, and has a deep interest in the law. She is an avid reader of autobiographies and finds them to be a great source of inspiration. When she's not working or playing Jukskei, she loves to spend her time reading about the world around her. She dislikes reading fiction, sports and study aids, and finds them to be a waste of her time. She is also not interested in business books.",40,Geologist,Jukskei,"['Art', 'Autobiography', 'History', 'Law']","['Fiction', 'Sports', 'Study Aids', 'Business']"
Ethan Harris,M,"a locksmith and a passionate Bridge player. He enjoys exploring the world of literature and loves reading literary criticism. He also enjoys reading juvenile fiction and finds it to be a great way to unwind. He is also interested in fitness and finds it to be a great way to stay healthy. He loves to read fiction and finds it to be a great source of entertainment. He dislikes reading books about the mind, science and health, and finds them to be too dry and boring. He also dislikes autobiographies and finds them to be self-centered and boring.",44,Locksmith,Bridge,"['Literary Criticism', 'Juvenile Fiction', 'Fitness', 'Fiction']","['Mind', 'Science', 'Health', 'Autobiography']"
Isabella Wilson,F,"a school child and a passionate card games player. She enjoys exploring the world of art and loves reading books about architecture. She is also interested in business and finds it to be a great way to understand the world around her. She is also interested in health and finds it to be a great way to stay healthy. She dislikes reading about hobbies, religion, comics and juvenile fiction. She finds them to be boring and uninteresting.",10,schoolchild,Card games,"['Art', 'Architecture', 'Business', 'Health']","['Hobbies', 'Religion', 'Comics', 'Juvenile Fiction']"
Alexander Johnson,M,"retired and a passionate ephemera collector. He enjoys exploring the world of psychology and loves reading books about the human mind. He is also interested in fiction and finds it to be a great source of entertainment. He also enjoys reading juvenile fiction and finds it to be a great way to relax. He is also interested in cooking and finds it to be a great way to stay healthy. He dislikes reading about fitness, foreign language study and house, and finds them to be boring and uninteresting. He also dislikes reading about history and finds it to be too dry and boring.",71,retired,Ephemera collecting,"['Psychology', 'Fiction', 'Juvenile Fiction', 'Cooking']","['Fitness', 'Foreign Language Study', 'House', 'History']"
Aaliyah Johnson,F,"a car salesperson by profession and her hobby is playing cribbage. She is very passionate about her job and she loves to interact with people. She is quite interested in history, particularly ancient civilizations and their cultures. Her favorite genre of books are fiction, education and spirituality. She loves to read books that are informative and can help her learn new things. She is not a big fan of health-related books, as she feels they can be quite boring. She is also not very interested in technology and juvenile fiction. She enjoys reading books that are easy to understand and can be read in one sitting. She also enjoys reading books that are related to her favorite historical periods and can help her learn more about them.",25,Car Salesperson,Cribbage,"['Fiction', 'Education', 'History', 'Spirit']","['Health', 'Technology', 'Juvenile Fiction', 'Economics']"
David Lee,M,"a film producer by profession and his hobby is religious studies. He is very passionate about his job and he loves to create films that have a positive message. He is quite interested in history, particularly ancient civilizations and their cultures. His favorite genre of books are autobiographies, history and religious studies. He loves to read books that are informative and can help him learn new things about different religions and cultures. He is not a big fan of fiction, as he finds it hard to connect with the stories. He is also not very interested in economics, political science and nature. He enjoys reading books that are easy to understand and can be read in one sitting. He also enjoys reading books that are related to his favorite historical periods and can help him learn more about them.",42,Producer,Religious studies,"['Autobiography', 'History', 'Education', 'Religion']","['Fiction', 'Economics', 'Political Science', 'Nature']"
Sarah Taylor,F,"an actor by profession and her hobby is weightlifting. She is very passionate about her job and she loves to act in different roles. She is quite interested in science, particularly biology and psychology. Her favorite genre of books are science, social science and self-help. She loves to read books that are informative and can help her learn new things about different scientific and social phenomena. She is not a big fan of religion, as she finds it hard to connect with the stories. She is also not very interested in computers, crafts and history. She enjoys reading books that are easy to understand and can be read in one sitting. She also enjoys reading books that are related to her favorite scientific and social phenomena and can help her learn more about them.",39,Actor,Weightlifting,"['Science', 'Social Science', 'Self-Help', 'Sports']","['Religion', 'Computers', 'Crafts', 'History']"
James Thompson,M,"retired by profession and his hobby is rock balancing. He is very passionate about his hobby and he loves to create different sculptures. He is quite interested in fitness, particularly yoga and meditation. His favorite genre of books are fitness, economics and computers. He loves to read books that are informative and can help him learn new things about different fitness training and economic theories. He is not a big fan of education, literary criticism, history and business. He finds these topics too boring and hard to understand. He enjoys reading books that are",65,retired,Rock balancing,"['Fitness', 'Economics', 'Computers', 'Fiction']","['Education', 'Literary Criticism', 'History', 'Business']"
Aria Ross,F,"in the fourth grade and attends public school. She lives with her parents and her younger sister. Aria is an active child who loves playing sports with her friends, she is also fond of collecting stamps, especially from different countries. She enjoys reading books about her favorite sports, juvenile fiction, music and psychology. She is particularly interested in the psychology of children and how their minds work. She enjoys reading about the different stages of child development and how to help children overcome different challenges. She is a fast reader and loves to read books that keep her engaged and interested. She is not a big fan of self-help books, as she doesn't find them relatable, and she doesn't like reading about relationships as she feels that it's not something she needs to worry about at her age. She is not a big fan of bibles as she doesn't believe in religion. She is a curious and imaginative child who loves to read books that take her on an adventure.",9,schoolchild,Collecting stamps,"['Sports', 'Juvenile Fiction', 'Music', 'Psychology']","['Self-Help', 'Fiction', 'Relationships', 'Bibles']"
James Thompson,M,"retired and lives with his wife. He is an active person who enjoys practicing Qigong, a traditional Chinese exercise that involves movement and breathing. He enjoys reading books about his favorite subjects, religion, juvenile fiction, political science, and fiction. He is particularly interested in Christianity and reads books about the Bible and Christian theology. He enjoys reading about different political systems and how they work. He is a big fan of historical fiction books that take him back in time and give him a sense of what it was like to live in a different era. He is not a big fan of education books, as he feels that he has already learned everything he needs to know. He is not a big fan of art and history books as he feels that they are not practical and not related to his interests. He is not a big fan of sports books, as he doesn't understand the appeal of sports and doesn't find them interesting.",67,retired,Qigong,"['Religion', 'Juvenile Fiction', 'Political Science', 'Fiction']","['Education', 'Art', 'History', 'Sports']"
Sophia Lee,F,"a flight attendant and loves to travel. She is also an avid geocacher, a outdoor activity where participants use a GPS to find hidden containers. She enjoys reading books about her favorite subjects, body, history, nature, and fiction. She is particularly interested in books that help her improve her health and fitness. She loves reading about different historical periods and how they have shaped the world we live in today. She is fascinated by nature and enjoys reading about different ecosystems and the plants and animals that live in them. She is a big fan of fiction books that take her on a journey and allow her to escape reality. She is not a big fan of computer books, as she doesn't find them interesting and doesn't see the point of learning to code. She is not a big fan of foreign language study books, as she doesn't see the point of learning a language she doesn't",42,Flight Attendant,Geocaching,"['Body', 'History', 'Nature', 'Fiction']","['Computers', 'Foreign Language Study', 'Biography', 'Performing Arts']"
Samuel Brown,M,"a bricklayer and enjoys the physical aspect of his job. He also practices martial arts as a hobby, which he finds it",34,Bricklayer,Martial arts,"['Fiction', 'Economics', 'Sports', 'Language Arts']","['Graphic Novels', 'Activities', 'Music', 'Travel']"
Maria Sanchez,F,"a retired teacher and a beekeeper, she is a kind and gentle person who loves to spend her time surrounded by nature. She enjoys reading autobiographies, juvenile nonfiction, and reference books. She also enjoys activities books. She is not a big fan of recreation, relationships, history, and performing arts. Her favorite books are ""The Autobiography of Malcolm X"" by Malcolm X, ""The Little Prince"" by Antoine de Saint-Exupéry, ""The Guinness Book of World Records"" and ""The Joy of Cooking"" by Irma S. Rombauer. In her free time, she enjoys gardening, hiking and spending time with her grandchildren.",73,retired,Beekeeping,"['Autobiography', 'Juvenile Nonfiction', 'Reference', 'Activities']","['Recreation', 'Relationships', 'History', 'Performing Arts']"
Mark Johnson,M,"a door-to-door salesperson and a motorcycle enthusiast, he is an outgoing and adventurous person who loves to travel and explore new places. He enjoys reading religion, fiction, and law books. He is not a big fan of economics, music, spirit and business. His favorite books are ""The Bible"", ""The Godfather"" by Mario Puzo, ""The Great Gatsby"" by F. Scott Fitzgerald, and ""To Kill a Mockingbird"" by Harper Lee. In his free time, he enjoys riding his motorcycle, hiking and going to the movies.",49,Door-to-Door Salesperson,Motorcycling,"['Religion', 'Fiction', 'Law', 'Performing Arts']","['Economics', 'Music', 'Spirit', 'Business']"
Emily Thompson,F,"a retired accountant and an animation enthusiast, she is a detail-oriented person who loves to analyze and understand things. She enjoys reading fiction, social science, business, and computers books. She is not a big fan of biography, drama, science, and poetry. Her favorite books are ""1984"" by George Orwell, ""The Catcher in the Rye"" by J.D. Salinger, ""The Art of War"" by Sun Tzu and ""The Great Gatsby"" by F. Scott Fitzgerald. In her free time, she enjoys drawing, painting and spending time with her grandchildren.",74,retired,Animation,"['Fiction', 'Social Science', 'Business', 'Computers']","['Biography', 'Drama', 'Science', 'Poetry']"
